Name,Address,Address 2,City,State,Zip,Cross Street,URL,URL Caption,Phone Number,"Description: Description of service offered and special offer. E.g. ""Total Health Risk Assessment available for $10 if you use this app.  Mention code GETSCREENED to receive this special offer.""",Latitude (if available),Longitude (if available)
CVS Pharmacy,1497  ROUTE   206,,TABERNACLE,NJ,8088,,m.cvs.com,CVS is your one stop shop,(609) 268-0279,"Store Hours - MO-FR:  07:00 AM - 10:00 PM SA: 07:00 AM - 10:00 PM SU: 07:00 AM - 10:00 PM
Pharmacy Hours - MO-FR:  08:00 AM - 10:00 PM SA: 09:00 AM - 06:00 PM SU: 09:00 AM - 05:00 PM
Drive Thru Pharmacy ",39.8465716,-74.7346814
CVS Pharmacy,1322 BEACON ST,,BROOKLINE,MA,2446,,m.cvs.com,CVS is your one stop shop,(617) 731-4410,"Store Hours - MO-FR:  08:00 AM - 10:00 PM SA: 08:00 AM - 10:00 PM SU: 08:00 AM - 10:00 PM
Pharmacy Hours - MO-FR:  08:00 AM - 08:00 PM SA: 08:00 AM - 06:00 PM SU: 09:00 AM - 06:00 PM",42.3423459,-71.1212675
CVS Pharmacy,9901B WEST THUNDERBIRD BLVD,,SUN CITY,AZ,85351,,m.cvs.com,CVS is your one stop shop,(623) 933-7233,"Store Hours - MO-FR:  07:00 AM - 10:00 PM SA: 07:00 AM - 10:00 PM SU: 07:00 AM - 10:00 PM
Pharmacy Hours - MO-FR:  07:00 AM - 09:00 PM SA: 08:00 AM - 05:00 PM SU: 09:00 AM - 05:00 PM
Drive Thru Pharmacy ",33.608954,-112.269394
CVS Pharmacy,"197 BOSTON TURNPIKE, ROUTE 9",,SHREWSBURY,MA,1960,,m.cvs.com,CVS is your one stop shop,(508) 752-0439,"Store Hours - MO-FR: OPEN 24 HOURS SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Pharmacy Hours - MO-FR: OPEN 24 HOURS SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Drive Thru Pharmacy ",42.271159,-71.665922
CVS Pharmacy,"NORTHGATE SHOPPING CENTER, SQUIRE RD, ROUTE 60",,REVERE,MA,2151,,m.cvs.com,CVS is your one stop shop,(781) 289-6099,"Store Hours - MO-FR: OPEN 24 HOURS SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Pharmacy Hours - MO-FR:  08:00 AM - 10:00 PM SA: 08:00 AM - 08:00 PM SU: 08:00 AM - 08:00 PM",42.427031,-71.010852
CVS Pharmacy,63 NEW YORK AVE  ROUTE 110,,HUNTINGTON,NY,11743,,m.cvs.com,CVS is your one stop shop,(631) 427-0152,"Store Hours - MO-FR:  07:00 AM - 10:00 PM SA: 07:00 AM - 10:00 PM SU: 07:00 AM - 10:00 PM
Pharmacy Hours - MO-FR:  08:00 AM - 10:00 PM SA: 09:00 AM - 06:00 PM SU: 10:00 AM - 06:00 PM
Drive Thru Pharmacy ",40.880496,-73.422174
CVS Pharmacy,13800 HULL ST RD,,MIDLOTHIAN,VA,23112,,m.cvs.com,CVS is your one stop shop,(804) 739-2198,"Store Hours - MO-FR: OPEN 24 HOURS SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Pharmacy Hours - MO-FR: OPEN 24 HOURS SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Minute Clinic Hours - MO-FR:09:00 AM - 08:00 PM SA: 09:00 AM - 05:30 PM SU: 10:00 AM - 05:30 PM
Drive Thru Pharmacy ",37.4076038,-77.6574183
CVS Pharmacy,70 KENNEDY PLAZA,,PROVIDENCE,RI,2903,,m.cvs.com,CVS is your one stop shop,(401) 861-5050,Store Hours - MO-FR:  07:00 AM - 09:00 PM SA: 08:00 AM - 06:00 PM SU: 12:00 PM - 06:00 PM,41.8243914,-71.4116955
CVS Pharmacy,5500 NORTH MACARTHUR BLVD,,IRVING,TX,75038,,m.cvs.com,CVS is your one stop shop,(972) 518-1325,"Store Hours - MO-FR: OPEN 24 HOURS      SA: OPEN 24 HOURS SU: OPEN 24 HOURS
Pharmacy Hours - MO-FR:  08:00 AM - 10:00 PM      SA: 09:00 AM - 06:00 PM SU: 10:00 AM - 06:00 PM
Minute Clinic Hours - MO-FR:08:30 AM - 07:30 PM SA: 09:00 AM - 05:30 PM SU: 10:00 AM - 05:30 PM
Drive Thru Pharmacy ",32.8855129,-96.9640115
CVS Pharmacy,2910 EAST MILTON AVE,,YOUNGSVILLE,LA,70592,,m.cvs.com,CVS is your one stop shop,(337) 856-8881,"Store Hours - MO-FR:  08:00 AM - 10:00 PM SA: 08:00 AM - 10:00 PM SU: 08:00 AM - 10:00 PM
Pharmacy Hours - MO-FR:  08:00 AM - 10:00 PM SA: 08:00 AM - 06:00 PM SU: 10:00 AM - 06:00 PM
Drive Thru Pharmacy ",30.108816,-92.01389
